2026-04-30 17:36:31,130 | INFO | recomart_preparation | Executing SQL file: sql/preparation/02_create_user_item_interactions.sql
2026-04-30 17:36:31,250 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:31,362 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:31,539 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:31,657 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:31,917 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:33,731 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:33,731 | INFO | recomart_preparation | Executing SQL file: sql/preparation/03_create_user_item_features.sql
2026-04-30 17:36:33,843 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:33,958 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:34,098 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:34,216 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:37,616 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:37,876 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:38,123 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:39,800 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:40,862 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:43,019 | INFO | recomart_preparation | Statement executed successfully
2026-04-30 17:36:43,019 | INFO | recomart_preparation | RecoMart data preparation completed successfully
2026-04-30 17:36:43,213 | INFO | recomart_preparation | Snowflake connection closed
