2026-05-02 15:36:48,086 | INFO | recomart_sql_runner | Statement 8 completed successfully
2026-05-02 15:36:48,087 | INFO | recomart_sql_runner | Statement 8: result preview columns=['file', 'status', 'rows_parsed', 'rows_loaded', 'error_limit', 'errors_seen', 'first_error', 'first_error_line', 'first_error_character', 'first_error_column_name']
2026-05-02 15:36:48,087 | INFO | recomart_sql_runner | Statement 8: row=('s3://recomartdatalake/raw/recomart/item_properties/ingestion_date=2026-05-02/item_properties_part2.csv', 'LOADED', 9275903, 9275903, 9275903, 0, None, None, None, None)
2026-05-02 15:36:48,087 | INFO | recomart_sql_runner | Statement 8: row=('s3://recomartdatalake/raw/recomart/item_properties/ingestion_date=2026-04-30/item_properties_part2.csv', 'LOADED', 9275903, 9275903, 9275903, 0, None, None, None, None)
2026-05-02 15:36:48,087 | INFO | recomart_sql_runner | Statement 8: row=('s3://recomartdatalake/raw/recomart/item_properties/ingestion_date=2026-04-30/item_properties_part1.csv', 'LOADED', 10999999, 10999999, 10999999, 0, None, None, None, None)
2026-05-02 15:36:48,087 | INFO | recomart_sql_runner | Statement 8: row=('s3://recomartdatalake/raw/recomart/item_properties/ingestion_date=2026-05-02/item_properties_part1.csv', 'LOADED', 10999999, 10999999, 10999999, 0, None, None, None, None)
2026-05-02 15:36:48,087 | INFO | recomart_sql_runner | ================================================================================
2026-05-02 15:36:48,087 | INFO | recomart_sql_runner | Running statement 9/15
2026-05-02 15:36:48,087 | INFO | recomart_sql_runner | SQL preview: COPY INTO RAW.RAW_RECOMART_CATEGORY_TREE ( CATEGORY_ID, PARENT_CATEGORY_ID, SOURCE_FILE_NAME, INGESTION_DATE, BATCH_ID ) FROM ( SELECT TRY_TO_NUMBER($1) AS CATEGORY_ID, TRY_TO_NUMBER($2) AS PARENT_CATEGORY_ID, METADATA$FILENAME AS SOURCE_FILE_NAME, TRY_TO_DATE( REGEXP_SUBSTR( METADATA$FILENAME, 'ing
2026-05-02 15:36:49,520 | INFO | recomart_sql_runner | Statement 9 completed successfully
2026-05-02 15:36:49,521 | INFO | recomart_sql_runner | Statement 9: result preview columns=['file', 'status', 'rows_parsed', 'rows_loaded', 'error_limit', 'errors_seen', 'first_error', 'first_error_line', 'first_error_character', 'first_error_column_name']
