VALIDATION_BATCH_ID,VALIDATION_RUN_TS,IS_VALID,VALIDATION_MESSAGE,RECORD_COUNT
20260430081645,2026-04-30 08:17:46.363,False,Duplicate event record,8268763
20260430081645,2026-04-30 08:17:46.363,True,Valid record,2755641
